market,method,expected_return,volatility,sharpe_ratio,factor_count
a_share,max_sharpe,1.2075164967448604,2.770561214950728,0.4358382302577404,8
a_share,min_volatility,0.4986155786133638,1.9748135333847496,0.25248742232323934,8
a_share,efficient_return,0.4986155786133638,1.9748135333847496,0.25248742232323934,8
a_share,hrp,0.610261017925405,0.09995835228429244,6.105152835950679,8
a_share,cla,1.207449639364623,2.770226017109697,0.4358668324920327,8
crypto,max_sharpe,0.16051308945264928,5.5973201360005485,0.028676774876653856,8
crypto,min_volatility,-0.16413065747777125,2.7016232198273067,-0.06075260838491861,8
crypto,efficient_return,0.09999999999999996,4.006282411046388,0.024960796504079025,8
crypto,hrp,0.42088982778674294,0.08877194366225509,4.741248309128788,8
crypto,cla,0.16047859168342613,5.596116977479521,0.02867677575884151,8
us,max_sharpe,0.9729932452403047,4.355367953634481,0.22340092860084493,8
us,min_volatility,0.4726042301618747,3.2685209279129745,0.14459268904349445,8
us,efficient_return,0.4726042301618747,3.2685209279129745,0.14459268904349445,8
us,hrp,0.4316924502752138,0.08731931261681534,4.9438370199914,8
us,cla,0.9743557568906545,4.361412252561834,0.22340372807416478,8
