method,factor,weight,expected_return,volatility,sharpe_ratio
max_sharpe,Agent_MACD,0.06766,1.2075164967448604,2.770561214950728,0.4358382302577404
max_sharpe,Agent_MomentumReversal,0.20588,1.2075164967448604,2.770561214950728,0.4358382302577404
max_sharpe,GFN_LogPrice,0.14704,1.2075164967448604,2.770561214950728,0.4358382302577404
max_sharpe,Gen_VolumeAnomaly,0.08861,1.2075164967448604,2.770561214950728,0.4358382302577404
max_sharpe,Genetic_Composite,0.49081,1.2075164967448604,2.770561214950728,0.4358382302577404
min_volatility,Agent_MACD,0.14657,0.4986155786133638,1.9748135333847496,0.25248742232323934
min_volatility,Agent_MomentumReversal,0.16365,0.4986155786133638,1.9748135333847496,0.25248742232323934
min_volatility,GFN_LogPrice,0.08703,0.4986155786133638,1.9748135333847496,0.25248742232323934
min_volatility,GFN_Volatility,0.13445,0.4986155786133638,1.9748135333847496,0.25248742232323934
min_volatility,Gen_VolumeAnomaly,0.03488,0.4986155786133638,1.9748135333847496,0.25248742232323934
min_volatility,Genetic_Composite,0.18285,0.4986155786133638,1.9748135333847496,0.25248742232323934
min_volatility,Genetic_Multivariate,0.11502,0.4986155786133638,1.9748135333847496,0.25248742232323934
min_volatility,Miner_SMACross,0.13554,0.4986155786133638,1.9748135333847496,0.25248742232323934
efficient_return,Agent_MACD,0.14657,0.4986155786133638,1.9748135333847496,0.25248742232323934
efficient_return,Agent_MomentumReversal,0.16365,0.4986155786133638,1.9748135333847496,0.25248742232323934
efficient_return,GFN_LogPrice,0.08703,0.4986155786133638,1.9748135333847496,0.25248742232323934
efficient_return,GFN_Volatility,0.13445,0.4986155786133638,1.9748135333847496,0.25248742232323934
efficient_return,Gen_VolumeAnomaly,0.03488,0.4986155786133638,1.9748135333847496,0.25248742232323934
efficient_return,Genetic_Composite,0.18285,0.4986155786133638,1.9748135333847496,0.25248742232323934
efficient_return,Genetic_Multivariate,0.11502,0.4986155786133638,1.9748135333847496,0.25248742232323934
efficient_return,Miner_SMACross,0.13554,0.4986155786133638,1.9748135333847496,0.25248742232323934
hrp,Agent_MACD,0.08950221390407802,0.610261017925405,0.09995835228429244,6.105152835950679
hrp,Agent_MomentumReversal,0.021177364778549812,0.610261017925405,0.09995835228429244,6.105152835950679
hrp,GFN_LogPrice,0.25102824448027944,0.610261017925405,0.09995835228429244,6.105152835950679
hrp,GFN_Volatility,0.10230289941020605,0.610261017925405,0.09995835228429244,6.105152835950679
hrp,Gen_VolumeAnomaly,0.051472865276535884,0.610261017925405,0.09995835228429244,6.105152835950679
hrp,Genetic_Composite,0.15286569128960414,0.610261017925405,0.09995835228429244,6.105152835950679
hrp,Genetic_Multivariate,0.20951030314709326,0.610261017925405,0.09995835228429244,6.105152835950679
hrp,Miner_SMACross,0.12214041771365339,0.610261017925405,0.09995835228429244,6.105152835950679
cla,Agent_MACD,0.06911699513567024,1.207449639364623,2.770226017109697,0.4358668324920327
cla,Agent_MomentumReversal,0.206403491953492,1.207449639364623,2.770226017109697,0.4358668324920327
cla,GFN_LogPrice,0.1462078524865844,1.207449639364623,2.770226017109697,0.4358668324920327
cla,Gen_VolumeAnomaly,0.08496042818287043,1.207449639364623,2.770226017109697,0.4358668324920327
cla,Genetic_Composite,0.49331123224138307,1.207449639364623,2.770226017109697,0.4358668324920327
