factor_name,count,mean,std,min,max
GFN_Momentum,4836,0.07837477829283032,1.2324640980026964,-4.092095618650016,5.0
GFN_Volatility,4836,0.27584711221670577,1.3312108998603105,-2.3152670137767024,5.0
GFN_VolumeCorr,4836,-0.1599834980626059,0.846799651675525,-2.668775700329423,1.176194188079069
GFN_LogPrice,4836,0.05005337655348382,1.316458287138086,-5.0,5.0
GFN_Composite,4836,0.14339934153509232,1.1976277911705782,-3.2229035212543318,3.529693906445215
Agent_MACD,4836,0.02153489646592068,1.1880129417828869,-4.132188119898321,5.0
Agent_RSI,4836,0.0075544481174646344,0.3872151345085447,-1.0,0.977424305960011
Agent_Bollinger,4836,0.046381279927983694,0.6209989132991777,-1.0,1.0
Agent_VWAP,4836,0.05218264657953628,1.149410486329594,-3.8760964681101804,5.0
Agent_MomentumReversal,4836,8.156865684543804e-05,1.4679577096611742,-5.0,5.0
Gen_RelativeStrength,4836,-0.033606194663898276,1.522306571097248,-5.0,5.0
Gen_VolumeAnomaly,4836,0.304284513688724,1.209482826591367,-1.9201522913745326,4.7228711054013255
Gen_PriceAcceleration,4836,-0.014554241447815726,1.2798394015875232,-5.0,4.913259684264586
Gen_VolatilityReversion,4836,0.01068080431010423,0.27287264907725345,-0.8051292879686873,0.9640275800758169
Gen_MultiMomentum,4836,0.13835651804974586,1.2589751714853663,-3.9117717769427727,5.0
Miner_SMACross,4836,-0.009202681936252163,1.5453469639264727,-5.0,5.0
Miner_EMA,4836,0.10469562767552895,1.2385422230929353,-4.231103990450306,5.0
Miner_WilliamsR,4836,-0.5027895727043636,0.3037319748570256,-0.9999999999372213,-0.0
Miner_Stochastic,4836,-0.0009387869484694181,0.12132668938574429,-0.5277355519161234,0.5583379448374184
Miner_CCI,4836,0.04812903331583066,0.7961812483011862,-1.0,1.0
Genetic_Composite,4836,0.06491541910685243,1.287323899236462,-3.866828593861938,4.7763088894759385
Genetic_AdaptiveMA,4836,-0.01880740829165664,0.8044952256720435,-1.7630997804811372,1.8874584708294602
Genetic_EvolutionaryMomentum,4836,0.1090929138497284,1.2539023774948754,-3.8846711944022028,5.0
Genetic_Multivariate,4836,0.3177513329966097,1.3328329734813473,-1.8959676386477646,5.0
Genetic_Optimal,4836,0.06578340714383489,0.8957149663319873,-1.6122670792397216,4.298380795632395
