date,stock,factor_name,factor_value
2024-01-23,MSFT.O,GFN_Momentum,0.6009221939759334
2024-01-23,NVDA.O,GFN_Momentum,0.5746154515616394
2024-01-23,SPY.P,GFN_Momentum,0.9668682057084518
2024-01-23,QQQ.O,GFN_Momentum,1.185174327401784
2024-01-23,BRK.B.N,GFN_Momentum,1.156062284026212
2024-01-24,AAPL.O,GFN_Momentum,1.7951642732102038
2024-01-24,MSFT.O,GFN_Momentum,1.013831286460958
2024-01-24,NVDA.O,GFN_Momentum,1.038709711984589
2024-01-24,SPY.P,GFN_Momentum,1.3984445444053315
2024-01-24,QQQ.O,GFN_Momentum,1.6774168428354446
2024-01-24,BRK.B.N,GFN_Momentum,1.9104016026257125
2024-01-25,AAPL.O,GFN_Momentum,0.7674526252872805
2024-01-25,MSFT.O,GFN_Momentum,0.8093414701425808
2024-01-25,NVDA.O,GFN_Momentum,0.8172960383094618
2024-01-25,SPY.P,GFN_Momentum,1.1743418949803808
2024-01-25,QQQ.O,GFN_Momentum,1.1067430934904534
2024-01-25,BRK.B.N,GFN_Momentum,2.030939853647962
2024-01-26,AAPL.O,GFN_Momentum,0.031291379256635964
2024-01-26,MSFT.O,GFN_Momentum,0.2756380770667446
2024-01-26,NVDA.O,GFN_Momentum,0.04252508938856589
2024-01-26,SPY.P,GFN_Momentum,0.2831297205422466
2024-01-26,QQQ.O,GFN_Momentum,-0.02765797475573765
2024-01-26,BRK.B.N,GFN_Momentum,1.9965133123383898
2024-01-29,AAPL.O,GFN_Momentum,-0.4410422139334631
2024-01-29,MSFT.O,GFN_Momentum,1.0022315551646561
2024-01-29,NVDA.O,GFN_Momentum,0.35627925202224137
2024-01-29,SPY.P,GFN_Momentum,0.6597694196373022
2024-01-29,QQQ.O,GFN_Momentum,0.36536094990997103
2024-01-29,BRK.B.N,GFN_Momentum,1.6108671117326558
2024-01-30,AAPL.O,GFN_Momentum,-1.2177936007440462
2024-01-30,MSFT.O,GFN_Momentum,0.6790495318685249
2024-01-30,NVDA.O,GFN_Momentum,0.3755473072879787
2024-01-30,SPY.P,GFN_Momentum,0.4203614641468082
2024-01-30,QQQ.O,GFN_Momentum,-0.1099864556098339
2024-01-30,BRK.B.N,GFN_Momentum,1.5786634823239443
2024-01-31,AAPL.O,GFN_Momentum,-1.6938740769557972
2024-01-31,MSFT.O,GFN_Momentum,-0.6496902630955307
2024-01-31,NVDA.O,GFN_Momentum,-0.30060611663924763
2024-01-31,SPY.P,GFN_Momentum,-0.7092133877563394
2024-01-31,QQQ.O,GFN_Momentum,-1.2156709785078288
2024-01-31,BRK.B.N,GFN_Momentum,0.6556126207107107
2024-02-01,AAPL.O,GFN_Momentum,-1.2428822865774212
2024-02-01,MSFT.O,GFN_Momentum,-0.2871337888637341
2024-02-01,NVDA.O,GFN_Momentum,0.005071076095554755
2024-02-01,SPY.P,GFN_Momentum,-0.21293236438490584
2024-02-01,QQQ.O,GFN_Momentum,-0.7514044440118504
2024-02-01,BRK.B.N,GFN_Momentum,0.4655413140797247
2024-02-02,AAPL.O,GFN_Momentum,-1.134699160576872
2024-02-02,MSFT.O,GFN_Momentum,0.47607893472766954
2024-02-02,NVDA.O,GFN_Momentum,0.900197060809955
2024-02-02,SPY.P,GFN_Momentum,0.5525054043482278
2024-02-02,QQQ.O,GFN_Momentum,0.254097371354445
2024-02-02,BRK.B.N,GFN_Momentum,0.4302533609795734
2024-02-05,AAPL.O,GFN_Momentum,-0.7318283918116877
2024-02-05,MSFT.O,GFN_Momentum,-0.5494714284619177
2024-02-05,NVDA.O,GFN_Momentum,1.269761555589068
2024-02-05,SPY.P,GFN_Momentum,-0.19754766758813025
2024-02-05,QQQ.O,GFN_Momentum,-0.25378574458843717
2024-02-05,BRK.B.N,GFN_Momentum,0.6874368095843334
2024-02-06,AAPL.O,GFN_Momentum,0.10425504669236287
2024-02-06,MSFT.O,GFN_Momentum,-0.4625309449340446
2024-02-06,NVDA.O,GFN_Momentum,0.9532053312953521
2024-02-06,SPY.P,GFN_Momentum,0.041015917717415945
2024-02-06,QQQ.O,GFN_Momentum,-0.04926772102197937
2024-02-06,BRK.B.N,GFN_Momentum,0.5658868800923588
2024-02-07,AAPL.O,GFN_Momentum,0.7022573465972253
2024-02-07,MSFT.O,GFN_Momentum,1.305247547543463
2024-02-07,NVDA.O,GFN_Momentum,1.6691165106602026
2024-02-07,SPY.P,GFN_Momentum,1.64076792899295
2024-02-07,QQQ.O,GFN_Momentum,1.2649542784037093
2024-02-07,BRK.B.N,GFN_Momentum,1.399945335734088
2024-02-08,AAPL.O,GFN_Momentum,0.12954605776106293
2024-02-08,MSFT.O,GFN_Momentum,0.7369366024326499
2024-02-08,NVDA.O,GFN_Momentum,1.2018510737201156
2024-02-08,SPY.P,GFN_Momentum,0.8202804231480176
