factor_name,count,mean,std,min,max
GFN_Momentum,2502,-0.04924625626367767,1.1587177211730524,-5.0,4.123375164284245
GFN_Volatility,2502,0.2972611969749626,1.341288378233946,-2.3459309386706937,5.0
GFN_VolumeCorr,2502,0.09426176826057019,0.8605902875521386,-1.37291747055173,2.2934191027089397
GFN_LogPrice,2502,-0.039511592247739466,1.2288557281516996,-5.0,4.912551338433853
GFN_Composite,2502,-0.012976582760609487,1.1663976572497259,-3.138539974843656,3.3932368901851655
Agent_MACD,2502,-0.02766279117976336,1.1839173813979154,-3.4918190871219923,3.059949986547009
Agent_RSI,2502,0.09468812329294499,0.386094965656457,-1.0,0.9399075315606683
Agent_Bollinger,2502,0.13274029673750873,0.6241754236463459,-1.0,1.0
Agent_VWAP,2502,-0.008901553039006688,1.155744584369891,-5.0,3.858644071535472
Agent_MomentumReversal,2502,-0.18940186246241206,1.3971811414086068,-5.0,3.1900095701357913
Gen_RelativeStrength,2502,-0.21012506340120068,1.4210698513544004,-5.0,3.329896350852515
Gen_VolumeAnomaly,2502,0.3390749360900757,1.3177048226139423,-1.9512686692224523,5.0
Gen_PriceAcceleration,2502,-0.006431061470135063,1.1990184387129605,-4.234606025713629,4.417206654590763
Gen_VolatilityReversion,2502,0.01570932875788491,0.2600782667647619,-0.7203026292664227,0.9640275800758169
Gen_MultiMomentum,2502,-0.07979615419292811,1.1825953272101075,-5.0,3.798746255431713
Miner_SMACross,2502,-0.20565044753488945,1.4424587434007359,-5.0,3.1513323312892454
Miner_EMA,2502,-0.1300656302346026,1.1456250668588666,-5.0,3.0092568207584565
Miner_WilliamsR,2502,-0.40014387006340957,0.3140358066793992,-0.999999999858734,-0.0
Miner_Stochastic,2502,-0.0007073429153419732,0.12444188746105442,-0.5766867978975665,0.5786445460697683
Miner_CCI,2502,0.18541631479753393,0.7966677030282919,-1.0,1.0
Genetic_Composite,2502,-0.07959742334986754,1.1645107329049194,-3.039515460778797,3.0911273005445956
Genetic_AdaptiveMA,2502,-0.16944165571792907,0.9347834232245607,-2.670506938099194,1.219722481973159
Genetic_EvolutionaryMomentum,2502,-0.06083311689226096,1.1256824555547542,-5.0,3.5990402246706616
Genetic_Multivariate,2502,0.2680813551358362,1.3536817998332207,-2.6253988640403616,5.0
Genetic_Optimal,2502,-0.09560381558220608,0.9170260017531862,-2.7155661922092165,3.0344260789708564
