factor_name,count,mean,std,min,max
GFN_Crypto_Momentum,6290,0.07703229922662355,1.2106584883389542,-3.5802554790859404,5.0
GFN_Crypto_Volatility,6290,0.26804307964144003,1.2452896454353115,-2.3266127229719364,5.0
GFN_Crypto_VolumeCorr,6290,-0.008564167871527983,0.7861038536293791,-1.5446451561225645,1.5498191879585013
GFN_Crypto_LogPrice,6290,0.015077382047950014,1.266175809890029,-5.0,5.0
GFN_Crypto_Composite,6290,0.09593307569868739,1.2123865656318686,-3.262141166080899,3.343702172065001
Agent_Crypto_MACD,6290,0.16200459920036173,1.5341049064306622,-5.0,5.0
Agent_Crypto_RSI,6290,0.01078273094808107,0.3625841082009458,-1.0,0.9759679997786915
Agent_Crypto_Bollinger,6290,0.013252006462894655,0.6075738780512325,-1.0,1.0
Agent_Crypto_VWAP,6290,0.14800741659389152,1.2113797542176106,-3.5688815716019233,5.0
Agent_Crypto_MomentumReversal,6290,0.09182299273553053,1.3453594367613255,-5.0,5.0
Gen_Crypto_RelativeStrength,6290,0.0978062683875655,1.3785256400515276,-5.0,5.0
Gen_Crypto_VolumeAnomaly,6290,0.33496648459676326,1.3175499757573028,-2.113831182326767,5.0
Gen_Crypto_PriceAcceleration,6290,-0.0180293995554926,1.1892309745819873,-4.601447395599626,4.623847014639505
Gen_Crypto_VolatilityReversion,6290,0.0010363129795180465,0.23813887432767583,-0.85628342995754,0.9640275800758169
Gen_Crypto_MultiMomentum,6290,0.18612914661030958,1.2944958045378672,-3.2473519761227836,5.0
Miner_Crypto_SMACross,6290,0.10716466371362042,1.3782513444493636,-5.0,5.0
Miner_Crypto_EMA,6290,0.15776843371866045,1.2568977340643286,-3.403164868083786,5.0
Miner_Crypto_WilliamsR,6290,-0.47911281087512114,0.2717021485619827,-0.9969930236953339,-0.0
Miner_Crypto_Stochastic,6290,-0.0002584206860365506,0.11232215416669643,-0.5584650336365544,0.5317051640568394
Miner_Crypto_CCI,6290,0.0072758307131757325,0.7756699318711008,-1.0,1.0
Genetic_Crypto_Composite,6290,0.022269346170233417,1.1672484758287238,-3.197262222576775,3.3656988686865743
Genetic_Crypto_AdaptiveMA,6290,0.036450821102776094,0.8510243680438101,-1.7261867415288368,1.7826967292164506
Genetic_Crypto_EvolutionaryMomentum,6290,0.12243579560434921,1.2685512231304568,-3.921244777546657,5.0
Genetic_Crypto_Multivariate,6290,0.5167865625139744,1.5424419649905776,-1.341862272206952,5.0
Genetic_Crypto_Optimal,6290,0.15984334544312795,0.9989156325803864,-1.6993960032756954,4.405177622429189
