date,open,high,low,close,volume,source,symbol
2024-01-02,3.99,4.04,3.98,4.01,1670528,akshare,601988.SH
2024-01-03,4.01,4.06,4.01,4.05,1833777,akshare,601988.SH
2024-01-04,4.05,4.15,4.04,4.14,2563064,akshare,601988.SH
2024-01-05,4.14,4.19,4.1,4.12,2148801,akshare,601988.SH
2024-01-08,4.12,4.15,4.08,4.1,1863336,akshare,601988.SH
2024-01-09,4.09,4.12,4.05,4.1,1669200,akshare,601988.SH
2024-01-10,4.1,4.13,4.04,4.04,2037085,akshare,601988.SH
2024-01-11,4.03,4.04,3.98,3.98,2039540,akshare,601988.SH
2024-01-12,3.97,4.04,3.97,4.03,1563831,akshare,601988.SH
2024-01-15,4.03,4.05,4.01,4.05,1295590,akshare,601988.SH
2024-01-16,4.04,4.07,4.02,4.07,1861650,akshare,601988.SH
2024-01-17,4.06,4.1,4.03,4.03,2177289,akshare,601988.SH
2024-01-18,4.03,4.04,3.89,4.01,3985244,akshare,601988.SH
2024-01-19,4.0,4.0,3.95,3.97,2431858,akshare,601988.SH
2024-01-22,3.97,4.03,3.95,4.0,2897222,akshare,601988.SH
2024-01-23,3.98,4.0,3.95,3.98,2208442,akshare,601988.SH
2024-01-24,3.99,4.1,3.98,4.1,2701847,akshare,601988.SH
2024-01-25,4.11,4.17,4.1,4.15,2402810,akshare,601988.SH
2024-01-26,4.14,4.29,4.14,4.28,3381616,akshare,601988.SH
2024-01-29,4.29,4.35,4.24,4.3,2743804,akshare,601988.SH
2024-01-30,4.28,4.34,4.23,4.27,2083057,akshare,601988.SH
2024-01-31,4.25,4.35,4.24,4.32,2501451,akshare,601988.SH
2024-02-01,4.31,4.33,4.27,4.27,2077571,akshare,601988.SH
2024-02-02,4.28,4.33,4.25,4.32,2828394,akshare,601988.SH
2024-02-05,4.3,4.45,4.28,4.44,3987515,akshare,601988.SH
2024-02-06,4.44,4.51,4.4,4.46,3622535,akshare,601988.SH
2024-02-07,4.43,4.45,4.24,4.35,4745527,akshare,601988.SH
2024-02-08,4.32,4.34,4.19,4.31,3494569,akshare,601988.SH
2024-02-19,4.3,4.52,4.27,4.51,3585662,akshare,601988.SH
2024-02-20,4.5,4.55,4.46,4.53,1886115,akshare,601988.SH
2024-02-21,4.52,4.64,4.51,4.56,2183157,akshare,601988.SH
2024-02-22,4.56,4.58,4.52,4.56,1529266,akshare,601988.SH
2024-02-23,4.57,4.67,4.56,4.6,1923149,akshare,601988.SH
2024-02-26,4.6,4.6,4.45,4.46,2313594,akshare,601988.SH
2024-02-27,4.45,4.51,4.43,4.46,1569937,akshare,601988.SH
2024-02-28,4.46,4.5,4.38,4.46,2310751,akshare,601988.SH
2024-02-29,4.45,4.48,4.43,4.47,1779424,akshare,601988.SH
2024-03-01,4.47,4.5,4.44,4.48,1886828,akshare,601988.SH
2024-03-04,4.47,4.54,4.45,4.51,1928423,akshare,601988.SH
2024-03-05,4.51,4.61,4.51,4.6,2077074,akshare,601988.SH
2024-03-06,4.6,4.63,4.54,4.55,1702465,akshare,601988.SH
2024-03-07,4.55,4.58,4.53,4.57,1419017,akshare,601988.SH
2024-03-08,4.56,4.58,4.53,4.55,1171782,akshare,601988.SH
2024-03-11,4.55,4.56,4.5,4.51,1714161,akshare,601988.SH
2024-03-12,4.51,4.51,4.39,4.39,2572463,akshare,601988.SH
2024-03-13,4.39,4.4,4.35,4.36,1957893,akshare,601988.SH
2024-03-14,4.35,4.41,4.34,4.37,1624540,akshare,601988.SH
2024-03-15,4.37,4.4,4.35,4.35,1295432,akshare,601988.SH
2024-03-18,4.35,4.36,4.3,4.35,1769636,akshare,601988.SH
2024-03-19,4.34,4.34,4.29,4.29,1663927,akshare,601988.SH
2024-03-20,4.28,4.38,4.27,4.35,1583318,akshare,601988.SH
2024-03-21,4.36,4.42,4.35,4.37,1739503,akshare,601988.SH
2024-03-22,4.38,4.41,4.35,4.39,1556703,akshare,601988.SH
2024-03-25,4.39,4.42,4.36,4.4,1419827,akshare,601988.SH
2024-03-26,4.41,4.44,4.37,4.44,1583148,akshare,601988.SH
2024-03-27,4.44,4.53,4.43,4.49,1664170,akshare,601988.SH
2024-03-28,4.48,4.49,4.37,4.38,2190752,akshare,601988.SH
2024-03-29,4.37,4.45,4.36,4.4,1687975,akshare,601988.SH
2024-04-01,4.41,4.47,4.39,4.46,1800109,akshare,601988.SH
2024-04-02,4.47,4.51,4.45,4.5,1305034,akshare,601988.SH
2024-04-03,4.49,4.52,4.46,4.48,1312816,akshare,601988.SH
2024-04-08,4.47,4.55,4.44,4.53,1800915,akshare,601988.SH
2024-04-09,4.53,4.57,4.47,4.49,1645829,akshare,601988.SH
2024-04-10,4.48,4.53,4.48,4.5,1386451,akshare,601988.SH
2024-04-11,4.5,4.51,4.46,4.48,1175295,akshare,601988.SH
2024-04-12,4.48,4.51,4.45,4.49,1571804,akshare,601988.SH
2024-04-15,4.49,4.59,4.48,4.59,2256221,akshare,601988.SH
2024-04-16,4.58,4.65,4.55,4.64,2435782,akshare,601988.SH
2024-04-17,4.62,4.69,4.55,4.66,2439184,akshare,601988.SH
2024-04-18,4.65,4.73,4.64,4.69,2600969,akshare,601988.SH
2024-04-19,4.69,4.74,4.68,4.72,1509633,akshare,601988.SH
2024-04-22,4.74,4.78,4.65,4.66,2011027,akshare,601988.SH
2024-04-23,4.66,4.72,4.62,4.66,2025615,akshare,601988.SH
2024-04-24,4.66,4.68,4.62,4.63,1325816,akshare,601988.SH
2024-04-25,4.63,4.66,4.6,4.65,1647188,akshare,601988.SH
2024-04-26,4.65,4.68,4.55,4.56,2573694,akshare,601988.SH
2024-04-29,4.55,4.6,4.53,4.57,2111166,akshare,601988.SH
2024-04-30,4.56,4.61,4.54,4.59,1922883,akshare,601988.SH
2024-05-06,4.61,4.62,4.47,4.48,3946546,akshare,601988.SH
2024-05-07,4.48,4.49,4.42,4.48,2426977,akshare,601988.SH
2024-05-08,4.48,4.53,4.48,4.51,1818127,akshare,601988.SH
2024-05-09,4.53,4.53,4.46,4.47,1681545,akshare,601988.SH
2024-05-10,4.47,4.5,4.45,4.47,1644349,akshare,601988.SH
2024-05-13,4.47,4.48,4.43,4.46,1668001,akshare,601988.SH
2024-05-14,4.46,4.47,4.42,4.42,1680490,akshare,601988.SH
2024-05-15,4.42,4.46,4.42,4.44,1268611,akshare,601988.SH
2024-05-16,4.44,4.48,4.42,4.47,1592009,akshare,601988.SH
2024-05-17,4.47,4.49,4.45,4.49,1543699,akshare,601988.SH
2024-05-20,4.49,4.54,4.47,4.47,2033900,akshare,601988.SH
2024-05-21,4.47,4.51,4.45,4.51,1684821,akshare,601988.SH
2024-05-22,4.51,4.54,4.49,4.53,1414914,akshare,601988.SH
2024-05-23,4.53,4.54,4.49,4.52,1548549,akshare,601988.SH
2024-05-24,4.51,4.53,4.48,4.48,1368772,akshare,601988.SH
2024-05-27,4.49,4.52,4.48,4.51,1374853,akshare,601988.SH
2024-05-28,4.51,4.52,4.47,4.48,1630781,akshare,601988.SH
