date,open,high,low,close,volume,source,symbol
2024-01-02,10.44,10.48,10.15,10.15,811106,akshare,000002.SZ
2024-01-03,10.15,10.23,10.04,10.13,610921,akshare,000002.SZ
2024-01-04,10.1,10.11,9.89,9.93,851919,akshare,000002.SZ
2024-01-05,9.92,10.13,9.88,9.99,739604,akshare,000002.SZ
2024-01-08,10.03,10.11,9.81,9.82,658007,akshare,000002.SZ
2024-01-09,9.83,9.98,9.73,9.88,530900,akshare,000002.SZ
2024-01-10,9.85,9.88,9.72,9.74,608315,akshare,000002.SZ
2024-01-11,9.73,9.81,9.62,9.76,731623,akshare,000002.SZ
2024-01-12,9.7,9.87,9.66,9.7,718737,akshare,000002.SZ
2024-01-15,9.62,9.78,9.44,9.71,785606,akshare,000002.SZ
2024-01-16,9.67,9.7,9.48,9.61,659467,akshare,000002.SZ
2024-01-17,9.57,9.57,9.31,9.34,795634,akshare,000002.SZ
2024-01-18,9.29,9.41,9.13,9.4,893507,akshare,000002.SZ
2024-01-19,9.31,9.45,9.27,9.41,609297,akshare,000002.SZ
2024-01-22,9.27,9.3,9.0,9.05,937345,akshare,000002.SZ
2024-01-23,9.0,9.21,8.93,9.18,781749,akshare,000002.SZ
2024-01-24,9.23,9.44,9.1,9.41,844242,akshare,000002.SZ
2024-01-25,9.46,9.97,9.42,9.96,1512856,akshare,000002.SZ
2024-01-26,9.95,10.35,9.9,10.2,1621424,akshare,000002.SZ
2024-01-29,10.41,10.45,10.06,10.06,1145297,akshare,000002.SZ
2024-01-30,10.0,10.05,9.79,9.79,797927,akshare,000002.SZ
2024-01-31,9.77,9.85,9.56,9.6,674789,akshare,000002.SZ
2024-02-01,9.53,9.66,9.42,9.44,627860,akshare,000002.SZ
2024-02-02,9.45,9.83,9.17,9.49,912154,akshare,000002.SZ
2024-02-05,9.38,9.44,9.03,9.18,1005139,akshare,000002.SZ
2024-02-06,9.15,9.56,9.08,9.51,1080198,akshare,000002.SZ
2024-02-07,9.51,9.63,9.42,9.52,1155528,akshare,000002.SZ
2024-02-08,9.66,10.08,9.61,10.06,1346287,akshare,000002.SZ
2024-02-19,10.09,10.1,9.67,9.84,1356870,akshare,000002.SZ
2024-02-20,9.9,10.02,9.78,9.9,908516,akshare,000002.SZ
2024-02-21,9.78,10.49,9.69,10.21,1834889,akshare,000002.SZ
2024-02-22,10.12,10.24,10.04,10.15,923217,akshare,000002.SZ
2024-02-23,10.16,10.25,10.11,10.2,945695,akshare,000002.SZ
2024-02-26,10.17,10.19,9.95,9.98,1105923,akshare,000002.SZ
2024-02-27,9.94,10.07,9.9,10.06,838920,akshare,000002.SZ
2024-02-28,10.06,10.16,9.93,9.93,1232697,akshare,000002.SZ
2024-02-29,9.85,10.04,9.84,10.04,1113841,akshare,000002.SZ
2024-03-01,9.99,10.01,9.82,9.89,1092652,akshare,000002.SZ
2024-03-04,9.7,9.7,9.38,9.43,2014191,akshare,000002.SZ
2024-03-05,9.32,9.49,9.2,9.48,1605444,akshare,000002.SZ
2024-03-06,9.39,9.45,9.27,9.33,1038602,akshare,000002.SZ
2024-03-07,9.31,9.37,9.21,9.21,1046596,akshare,000002.SZ
2024-03-08,9.21,9.24,9.09,9.18,1007475,akshare,000002.SZ
2024-03-11,9.29,9.46,9.23,9.46,1556540,akshare,000002.SZ
2024-03-12,9.4,10.2,9.36,10.0,3324021,akshare,000002.SZ
2024-03-13,9.83,9.87,9.66,9.69,1935997,akshare,000002.SZ
2024-03-14,9.64,9.86,9.6,9.71,1381990,akshare,000002.SZ
2024-03-15,9.62,9.71,9.4,9.47,1446177,akshare,000002.SZ
2024-03-18,9.46,9.46,9.32,9.44,1138585,akshare,000002.SZ
2024-03-19,9.39,9.43,9.32,9.33,962478,akshare,000002.SZ
2024-03-20,9.3,9.38,9.26,9.36,732955,akshare,000002.SZ
2024-03-21,9.36,9.52,9.34,9.4,1157672,akshare,000002.SZ
2024-03-22,9.36,9.37,9.17,9.26,1031186,akshare,000002.SZ
2024-03-25,9.28,9.49,9.18,9.34,1209348,akshare,000002.SZ
2024-03-26,9.33,9.52,9.3,9.46,1177544,akshare,000002.SZ
2024-03-27,9.42,9.43,9.2,9.21,915095,akshare,000002.SZ
2024-03-28,9.18,9.32,9.17,9.24,671161,akshare,000002.SZ
2024-03-29,8.96,9.1,8.89,9.0,1481695,akshare,000002.SZ
2024-04-01,8.94,9.12,8.92,8.98,1438314,akshare,000002.SZ
2024-04-02,8.9,8.91,8.45,8.5,2930946,akshare,000002.SZ
2024-04-03,8.4,8.43,8.19,8.19,1959391,akshare,000002.SZ
2024-04-08,8.05,8.1,7.98,8.0,1520376,akshare,000002.SZ
2024-04-09,8.0,8.06,7.92,7.99,1091806,akshare,000002.SZ
2024-04-10,7.98,7.98,7.48,7.58,2471999,akshare,000002.SZ
2024-04-11,7.42,7.51,7.31,7.44,1750992,akshare,000002.SZ
2024-04-12,7.36,7.43,7.09,7.1,2352433,akshare,000002.SZ
2024-04-15,7.02,7.3,7.0,7.14,1789183,akshare,000002.SZ
2024-04-16,7.09,7.25,6.91,7.07,2156642,akshare,000002.SZ
2024-04-17,7.05,7.21,7.02,7.1,2431274,akshare,000002.SZ
2024-04-18,7.02,7.05,6.87,6.88,3068855,akshare,000002.SZ
2024-04-19,6.78,6.85,6.67,6.7,2253929,akshare,000002.SZ
2024-04-22,6.67,6.85,6.63,6.69,1838419,akshare,000002.SZ
2024-04-23,6.7,6.72,6.54,6.57,1794210,akshare,000002.SZ
2024-04-24,6.59,6.61,6.48,6.54,1570541,akshare,000002.SZ
2024-04-25,6.5,6.68,6.48,6.55,1921764,akshare,000002.SZ
2024-04-26,6.56,6.88,6.45,6.87,4055361,akshare,000002.SZ
2024-04-29,6.77,7.56,6.76,7.56,4944660,akshare,000002.SZ
2024-04-30,7.7,7.79,7.35,7.41,6307975,akshare,000002.SZ
2024-05-06,7.63,7.88,7.44,7.46,5244938,akshare,000002.SZ
2024-05-07,7.36,7.68,7.32,7.52,4190289,akshare,000002.SZ
2024-05-08,7.45,7.49,7.19,7.2,2758773,akshare,000002.SZ
2024-05-09,7.24,7.51,7.18,7.3,3258851,akshare,000002.SZ
2024-05-10,7.4,7.65,7.32,7.56,4441031,akshare,000002.SZ
2024-05-13,7.43,7.49,7.33,7.42,2291685,akshare,000002.SZ
2024-05-14,7.42,7.56,7.38,7.46,2287683,akshare,000002.SZ
2024-05-15,7.41,7.98,7.39,7.73,4910563,akshare,000002.SZ
2024-05-16,7.7,8.34,7.69,8.18,6635870,akshare,000002.SZ
2024-05-17,8.33,9.0,8.0,9.0,9247184,akshare,000002.SZ
2024-05-20,9.0,9.45,8.8,9.18,8809696,akshare,000002.SZ
2024-05-21,9.0,9.33,8.93,9.19,4708288,akshare,000002.SZ
2024-05-22,9.24,9.92,9.11,9.4,7193790,akshare,000002.SZ
2024-05-23,9.23,9.56,9.1,9.56,6062271,akshare,000002.SZ
2024-05-24,9.29,9.36,8.94,8.99,4808106,akshare,000002.SZ
2024-05-27,8.82,8.89,8.68,8.87,3411716,akshare,000002.SZ
2024-05-28,8.96,8.99,8.48,8.52,3859230,akshare,000002.SZ
2024-05-29,8.53,8.84,8.5,8.58,2909451,akshare,000002.SZ
2024-05-30,8.49,8.56,8.18,8.27,3216483,akshare,000002.SZ
2024-05-31,8.35,8.44,8.15,8.25,2455017,akshare,000002.SZ
2024-06-03,8.18,8.26,8.01,8.09,2166522,akshare,000002.SZ
2024-06-04,8.08,8.47,7.97,8.36,3468694,akshare,000002.SZ
2024-06-05,8.29,8.32,8.11,8.11,1891027,akshare,000002.SZ
2024-06-06,8.2,8.3,7.93,8.02,1980537,akshare,000002.SZ
2024-06-07,8.02,8.27,8.0,8.17,2326428,akshare,000002.SZ
2024-06-11,8.08,8.24,7.91,8.01,1938258,akshare,000002.SZ
2024-06-12,7.96,8.05,7.85,7.89,1900565,akshare,000002.SZ
2024-06-13,7.95,7.97,7.68,7.71,2272705,akshare,000002.SZ
2024-06-14,7.67,8.12,7.65,7.94,2762137,akshare,000002.SZ
2024-06-17,7.82,7.89,7.62,7.65,2144249,akshare,000002.SZ
2024-06-18,7.65,7.72,7.5,7.53,1769636,akshare,000002.SZ
2024-06-19,7.53,7.58,7.43,7.47,1460033,akshare,000002.SZ
2024-06-20,7.46,7.46,7.2,7.21,1820994,akshare,000002.SZ
2024-06-21,7.23,7.34,7.16,7.19,1460896,akshare,000002.SZ
2024-06-24,7.13,7.14,6.96,6.99,1534809,akshare,000002.SZ
2024-06-25,6.99,7.27,6.96,7.11,2005848,akshare,000002.SZ
2024-06-26,7.05,7.21,7.0,7.19,1341792,akshare,000002.SZ
2024-06-27,7.19,7.3,7.0,7.0,1511663,akshare,000002.SZ
2024-06-28,6.95,7.13,6.91,6.93,1585789,akshare,000002.SZ
2024-07-01,6.9,7.33,6.9,7.29,2655329,akshare,000002.SZ
2024-07-02,7.24,7.35,7.1,7.13,1830025,akshare,000002.SZ
2024-07-03,7.13,7.27,7.03,7.16,1623862,akshare,000002.SZ
2024-07-04,7.12,7.14,6.94,6.94,1469395,akshare,000002.SZ
2024-07-05,6.94,7.01,6.83,6.88,1170783,akshare,000002.SZ
2024-07-08,6.84,6.84,6.62,6.67,1535081,akshare,000002.SZ
2024-07-09,6.66,6.77,6.56,6.71,1385601,akshare,000002.SZ
2024-07-10,6.45,6.73,6.32,6.65,1825180,akshare,000002.SZ
2024-07-11,6.73,6.87,6.64,6.81,1497954,akshare,000002.SZ
2024-07-12,6.88,7.15,6.85,6.95,2275360,akshare,000002.SZ
2024-07-15,6.85,6.93,6.77,6.83,1167585,akshare,000002.SZ
2024-07-16,6.85,7.02,6.78,6.92,1352605,akshare,000002.SZ
2024-07-17,6.92,7.25,6.9,7.12,2200785,akshare,000002.SZ
2024-07-18,7.12,7.14,6.98,7.14,1239653,akshare,000002.SZ
2024-07-19,7.08,7.1,6.91,7.06,1468848,akshare,000002.SZ
2024-07-22,7.09,7.12,6.92,6.98,1031927,akshare,000002.SZ
2024-07-23,6.98,7.07,6.84,6.85,974233,akshare,000002.SZ
2024-07-24,6.84,6.92,6.64,6.65,1153494,akshare,000002.SZ
2024-07-25,6.64,6.79,6.59,6.7,817450,akshare,000002.SZ
2024-07-26,6.72,6.95,6.72,6.84,928799,akshare,000002.SZ
2024-07-29,6.85,6.87,6.66,6.69,968259,akshare,000002.SZ
2024-07-30,6.67,6.8,6.65,6.75,1074764,akshare,000002.SZ
2024-07-31,6.73,7.09,6.67,7.09,2048902,akshare,000002.SZ
2024-08-01,7.07,7.15,6.89,6.9,1509050,akshare,000002.SZ
2024-08-02,6.83,6.94,6.8,6.81,1074234,akshare,000002.SZ
2024-08-05,6.78,7.02,6.76,6.78,1576610,akshare,000002.SZ
2024-08-06,6.85,6.92,6.77,6.88,1263769,akshare,000002.SZ
2024-08-07,6.84,6.85,6.72,6.79,935649,akshare,000002.SZ
2024-08-08,6.84,7.1,6.73,6.92,2032811,akshare,000002.SZ
2024-08-09,6.92,7.38,6.89,7.18,3595754,akshare,000002.SZ
